city,date,avg_temp,max_temp,min_temp,dominant_condition
Bangalore,2024-10-19,25.370000000000005,25.370000000000005,25.370000000000005,Thunderstorm
Chennai,2024-10-19,31.05000000000001,31.05000000000001,31.05000000000001,Mist
Delhi,2024-10-19,33.05000000000001,33.05000000000001,33.05000000000001,Haze
Hyderabad,2024-10-19,29.730000000000015,29.730000000000015,29.730000000000015,Clouds
Kolkata,2024-10-19,26.970000000000027,26.970000000000027,26.970000000000027,Thunderstorm
Mumbai,2024-10-19,30.99000000000001,30.99000000000001,30.99000000000001,Haze
